2018rank,City,State,2018estimate,2010Census,2016 land area (sq mi),2016 population density (sq mi),Zhvi,Median Income,Cost Score,Cost Rank
271,Ventura,California,111128,106433,21.8,5027.0,609200,71805.0,8.48408885175127,35.0
272,Centennial,Colorado,110831,100377,29.5,3727.0,457500,69117.0,6.619210903251009,67.0
273,Lakeland,Florida,110516,97422,65.9,1615.0,161600,52594.0,3.0725938319960453,232.0
274,Gresham,Oregon,110158,105594,23.3,4786.0,338300,60212.0,5.6184813658406965,103.0
275,Richmond,California,110146,103701,30.1,3648.0,528500,71805.0,7.36021168442309,52.0
276,Billings,Montana,109550,104170,43.7,2525.0,235900,53386.0,4.418761473045367,150.0
277,Inglewood,California,109419,109673,9.1,12160.0,555800,71805.0,7.74040804957872,45.0
278,Broken Arrow,Oklahoma,109171,98850,61.7,1741.0,165600,50051.0,3.3086252022936606,217.0
279,Sandy Springs,Georgia,108797,93853,37.7,2804.0,488700,56183.0,8.698360714095012,31.0
280,Jurupa Valley,California,108393,0,42.9,2414.0,394800,71805.0,5.498224357635262,105.0
281,Hillsboro,Oregon,108389,91611,25.0,4207.0,376000,60212.0,6.244602404836245,78.0
282,Waterbury,Connecticut,108093,110366,28.5,3799.0,118300,74168.0,1.5950275051235034,304.0
283,Santa Maria,California,107408,99553,22.8,4662.0,390000,71805.0,5.431376645080426,108.0
284,Boulder,Colorado,107353,97385,24.8,4358.0,742400,69117.0,10.741206938958577,19.0
285,Greeley,Colorado,107348,92889,47.8,2176.0,289300,69117.0,4.185656206143206,166.0
